Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Back to the table of content,,,,,,,,,,,,,,,,
,Table 3.20.a:  Levelised cost of electricity for combined-cycle gas turbine (CCGT) at 50% capacity factor,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel
 (USD/MWh)",Carbon (USD/MWh),O&M (USD/MWh),LCOE (USD/MWh),,,Country
,,,,,0.03,0.07,0.1,0.03,0.07,0.1,,,,0.03,0.07,0.1,
,Australia,CCGT,506,0.4752,11.459476299577082,18.826730661675647,25.51550063464242,0.21920271399227018,0.10431773859076365,0.057503030493597285,56.03655675531901,12.749999999999996,7.343665451898139,87.80890122078647,95.06127060748358,101.70322587235316,Australia
,,CCGT (CCUS),437,0.4099,33.92112585391244,55.728890526697164,75.52827770019742,0.6488606158315791,0.3087903013214859,0.17021436960663422,64.96358080050642,1.4781166138082453,14.260403292474368,115.27208717653305,136.7397815348077,156.40059277659313,
,Belgium,CCGT,500,0.595,9.207851891364554,15.127545360665293,20.502066991183217,0.1761324926079264,0.08382078390626678,0.0462045013443768,45.877534521008414,10.182857142857143,7.5501094588006294,72.99448550663865,78.82186726723774,84.15877261519375,Belgium
,,CCGT,500,0.64,12.111866718641066,19.89854043595204,26.96810350378716,0.23168197104581087,0.11025656959978167,0.060776690229911015,42.65177037499999,9.466875,7.018777512449571,71.48097157713644,79.14621989300139,86.16630308146662,
,,CCGT,500,0.58,11.686888939039624,19.20034603469056,26.021854258040236,0.22355277907929122,0.10638791803487706,0.058644174783247474,47.06402248275861,10.446206896551724,8.889855410337402,78.31052650776667,85.70681874237319,92.48058322247121,
,Canada,CCGT,471,0.569,12.698087054386658,20.861639628354624,28.273373042964,0.2428954929584689,0.11559304206520797,0.06371831207728894,19.189548710017576,10.648154657293498,10.365071797759558,53.14375771241576,61.180007835490464,68.53986652011193,Canada
,Italy,CCGT,790,0.6,7.082962993357348,11.636573354357916,15.77082076244863,0.135486532775328,0.06447752608174367,0.035541924111059074,45.495221733333324,10.097999999999999,9.43607305936073,72.24774431882675,76.73034567313371,80.83565747925375,Italy
,Japan,CCGT,1372,0.5589492248842359,13.308179901118526,21.86395887958077,29.631796762427722,0.2545656604508378,0.12114683042670742,0.06677972488991835,61.04564561667814,10.839625014695812,10.87325418108407,96.32127037402736,104.74363052246551,112.45710129977567,Japan
,Korea,CCGT,491,0.561,13.289758140887953,21.83369383874398,29.590779143248053,0.25421327961479506,0.12097913372592663,0.06668728549630282,60.822488948306585,10.799999999999997,16.8579079357539,102.02436830456321,110.4350698565304,118.13786331280487,Korea
,,CCGT,982,0.586,10.061812691432467,16.530514358393486,22.40348349281661,0.19246749083335185,0.09159454748667853,0.05048963031911486,58.2276728668942,10.339249146757679,11.851614422252378,90.67281661817006,97.04064534178443,102.87250955903998,
,Mexico,CCGT,503,0.505,8.033483446896339,13.19817984486157,17.887235561998395,0.15366857335676362,0.07313029010038506,0.04031158418938723,21.62149151683169,11.997623762376234,8.822656756108602,50.62892405556963,55.713082170278476,60.36931918150431,Mexico
,,CCGT,785,0.597,8.008693817425234,13.157453055516717,17.83203933924205,0.15319438466638433,0.07290462550461083,0.040187191173324664,18.289536375209376,10.148743718592963,9.578397009519335,46.17856530541329,51.247034784343015,55.88890363373706,
,,CCGT,835,0.578,5.5964306523072365,9.19435494287139,12.460929812817671,0.10705138311604614,0.050945346416072165,0.028082585455218592,18.89074950865051,10.482352941176469,9.20498431764909,44.281568802899365,47.82338705676354,51.06709916574897,
,Romania,CCGT,750,0.58,3.0447337153713514,5.002181609113754,6.779359109957058,0.1840570717787461,0.1230821976701346,0.09286257844647713,47.06402248275861,10.446206896551724,60.89643955775115,121.63545972421161,123.53193274384539,125.27889062546502,Romania
,United States,CCGT,726.548,0.5941015286477429,11.424596089927443,18.769426095975664,25.43783687513147,0.21853550753187523,0.10400021757173103,0.0573280034935257,18.378766405218343,10.198256876717124,7.82215597177117,48.04231085116595,55.27260556725403,61.894344132331646,United States
,,CCGT (CCUS),645.7379999999999,0.476592727147601,28.946832105229877,47.55664197097916,64.4525887259908,0.5537097850779745,0.263508382551089,0.14525363338824696,22.910238856033626,5.085096481653683,20.225577366345586,77.72145459434076,96.04106305756315,112.81875506341196,
,Non-OECD countries,,,,,,,,,,,,,,,,
,Brazil,CCGT,980,0.58,11.495928131597182,18.886617239877516,25.596663745305438,0.21989998324785484,0.10464956637978466,0.05768594380947687,18.825608993103444,10.446206896551724,13.31141804085051,54.29906204535072,61.574500736762985,68.2375836196206,Brazil
,China,CCGT,475,0.58,6.720657536869291,11.041343077839276,14.964116785470502,0.09641712675487116,0.04588454422531399,0.02529292123675942,53.53532557413791,10.446206896551724,15.93607305936073,86.73468019367455,91.00483315211498,94.90701523675766,China
,,,,,,,,,,,,,,,,,
,Table 3.20.b:  Levelised cost of electricity for open-cycle gas turbine (OCGT) at 10% capacity factor,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel
 (USD/MWh)",Carbon (USD/MWh),O&M (USD/MWh),LCOE (USD/MWh),,,Country
