Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Back to the table of content,,,,,,,,,,,,,,,,,
,Table 3.14:  Levelised cost of electricity for solar generators,,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity* (MWe),"Capacity 
factor (%)",Annual efficiency loss (%),Investment (USD/MWh),,,Decommissioning (USD/MWh),,,O&M (USD/MWh),,,LCOE (USD/MWh),,,Country
,,,,,,0.03,0.07,0.1,0.03,0.07,0.1,0.03,0.07,0.1,0.03,0.07,0.1,
,Austria,Solar PV (residential),0.02,0.114,0.005,43.53956938577508,64.4660540211673,82.28192254341366,0.9947526597336751,0.5368827426677865,0.32950441246800993,43.57246851316943,43.17589210973967,42.92392550019619,88.1067905586782,108.17882887357476,125.53535245607786,Austria
,Australia,Solar PV (utility scale),100,0.28,0.005,21.750467537492327,32.2044254235489,41.10445533684318,0.49693498899050476,0.26820317312671244,0.16460601535456248,4.632837658418548,4.59067171834347,4.563881397822511,26.88024018490138,37.063300315019085,45.83294275002026,Australia
,,Solar thermal (CSP),150,0.47,0,73.06525387950263,109.17638270078888,140.1664038441343,1.6693287659040912,0.9092369103233979,0.5613073579077699,19.459701953289652,19.45970195328965,19.45970195328966,94.19428459869638,129.54532156440192,160.1874131553317,
,Belgium**,Solar PV (residential),0.01,0.132,0.005,96.32130441814995,142.61634879738764,182.02986894960296,2.2006619521201767,1.187729847191611,0.7289528874124356,15.482373227536561,15.341459845746467,15.251929892017754,114.00433959780668,159.14553849032572,198.01075172903316,Belgium*
,,Solar PV (residential),0.01,0.12359999999999999,0.005,75.17233989317903,111.30252762753554,142.06214567015317,1.7174695593469647,0.926943756770152,0.5688990047393544,13.778811124830277,13.65340277534071,13.573724013931663,90.66862057735628,125.8828741596464,156.2047686888242,
,,Solar PV (residential),0.01,0.1278,0.005,54.48815140505242,80.67686845656479,102.97276515805638,1.2448959486460984,0.6718887802964748,0.4123625145694617,21.32157815372798,21.127519036395757,21.004222699492374,77.0546255074265,102.47627627325701,124.38935037211822,
,,Solar PV (utility scale),1,0.132,0.005,51.86531776361921,76.79341858320872,98.01608328055542,1.184971820372403,0.6395468407954827,0.3925130932220808,12.901977689613803,12.784549871455393,12.709941576681466,65.95226727360541,90.2175152954596,111.11853795045897,
,Canada,Solar PV (utility scale),20,0.25,0.005,37.40801617531718,55.38748374416814,70.69439438337292,0.8546644836114213,0.4612750793196136,0.28310124710302703,6.680936517933486,6.62012973176245,6.5814958654601465,44.94361717686209,62.4688885552502,77.5589914959361,Canada
,,Solar PV (utility scale),20,0.19,0.005,45.93966898723164,68.01971687880298,86.81767731291411,1.049587962329816,0.5664781675854903,0.3476681981966998,19.534902099220727,19.357104478837567,19.24413995748581,66.52415904878218,87.94329952522604,106.40948546859663,
,Denmark,Solar PV (residential),0.006000000000000001,0.12098355434075346,0.005,67.12950113742995,99.39404793822897,126.8626330230226,1.5337140616018627,0.8277681932324911,0.5080313641959485,14.226363972503423,14.096882204528937,14.01461537828291,82.88957917153523,114.31869833599039,141.38527976550145,Denmark
,,Solar PV (commercial),0.1,0.13101672352397262,0.005,44.64658482853387,66.10513585734346,84.37398179435336,1.0200447462560176,0.5505332563377293,0.33788222782551375,11.200638383756914,11.098695367032834,11.033925410806345,56.867267958546805,77.75436448071402,95.74578943298522,
,,Solar PV (utility scale),8,0.1613658390410959,0.005,22.868115030644763,33.85924940749318,43.21660724279323,0.5224699869737711,0.2819847897096154,0.17306429332498854,7.036024746209532,6.971986111642588,6.931298875861334,30.426609763828065,41.113220308845385,50.32097041197956,
,,Solar PV (utility scale),8,0.17911608133561643,0.005,24.023977162129306,35.570655185283194,45.40097791332056,0.5488780784133558,0.2962376277613396,0.1818117770025205,7.764982264960969,7.694308997083039,7.649406417054175,32.33783750550363,43.56120181012758,53.232196107377256,
,France,Solar PV (residential),0.01,0.17639999999999997,0.005,66.53276914283512,98.51050780353307,125.73491732782625,1.5200804692823826,0.8204099415452258,0.5035153382440688,24.537576240915254,24.314246600283038,24.172353104164724,92.59042585303276,123.64516434536134,150.41078577023504,France
,,Solar PV (commercial),0.5,0.17639999999999997,0.005,33.26638457141756,49.25525390176654,62.867458663913126,0.7600402346411913,0.4102049707726129,0.2517576691220344,24.537576240915254,24.314246600283038,24.172353104164724,58.564001046974,73.97970547282219,87.29156943719988,
,,Solar PV (utility scale),25,0.24,0.005,20.37566054999326,30.168843014832,38.50631843164679,0.4655246437177297,0.2512505445982253,0.15420157233724607,3.548043864643796,3.5157512146502325,3.495233933587404,24.389229058354783,33.93584477408046,42.15575393757144,
,Hungary,Solar PV (residential),0.004166666666666667,0.15,0.005,87.49437189062806,129.54691524101585,165.34856068745037,10.351245897398336,8.614964777421635,7.3764860845763245,3.559701915624089,3.5273031594564537,3.50671846335657,101.40531970365049,141.68918317789394,176.23176523538328,Hungary
,,Solar PV (commercial),0.05,0.135,0.005,66.3249132711926,98.20274987117502,125.34210727086065,6.464815245093787,5.283671532935697,4.480807368876983,2.1173634357378828,2.0980921755878006,2.0858480933891306,74.90709195202427,105.58451357969851,131.90876273312676,
