Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Back to the table of content,,,,,,,,,,,,,,,,
,Table 3.11.a:  Levelised cost of electricity for combined-cycle gas turbine (CCGT) at 85% capacity factor,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel 
(USD/MWh)",Carbon (USD/MWh),O&M (USD/MWh),LCOE (USD/MWh),,,Country
,,,,,0.03,0.07,0.1,0.03,0.07,0.1,,,,0.03,0.07,0.1,
,Australia,CCGT,506,0.4752,6.740868411515931,11.074547448044497,15.009118020377885,0.12894277293662953,0.061363375641625674,0.033825312055057205,56.03655675531901,12.749999999999996,6.587196119161184,82.24356405893273,86.5096636981663,90.41669620691307,Australia
,,CCGT (CCUS),437,0.4099,19.95360344347791,32.78170030982186,44.42839864717492,0.38168271519504654,0.18164135371852108,0.1001260997686083,64.96358080050642,1.4781166138082453,12.86788104616305,99.64486461915068,112.27292012401809,123.8381032074212,
,Belgium,CCGT,500,0.595,5.416383465508561,8.898556094508994,12.060039406578356,0.10360734859289791,0.04930634347427457,0.027179118437868688,45.877534521008414,10.182857142857143,5.996562899350439,67.57694537731744,71.00481700119926,74.14417308823218,Belgium
,,CCGT,500,0.64,7.124627481553569,11.705023785854138,15.863590296345377,0.13628351237988878,0.06485680564693039,0.03575099425288881,42.65177037499999,9.466875,4.799425284663581,64.17898165359705,68.68795125116463,72.81741195026181,
,,CCGT,500,0.58,6.874640552376251,11.2943211968768,15.306973092964835,0.13150163475252427,0.06258112825581003,0.03449657340191026,47.06402248275861,10.446206896551724,6.670503182551413,71.18687474899053,75.53763488699435,79.52220222822848,
,Canada,CCGT,471,0.569,7.469462973168623,12.271552722561543,16.631395907625873,0.14287970174027584,0.06799590709718115,0.03748136004546406,19.189548710017576,10.648154657293498,6.955106394843584,44.40515243706356,49.132358391813376,53.46168702982598,Canada
,Italy,CCGT,790,0.6,4.166448819621969,6.8450431496223025,9.27695338967566,0.0796979604560753,0.03792795651867274,0.020907014182975914,45.495221733333324,10.097999999999999,6.9918076819769,66.83117619538828,69.4680005214512,71.88288981916884,Italy
,Japan,CCGT,1372,0.5589492248842359,7.828341118305017,12.861152282106334,17.430468683781,0.14974450614755166,0.07126284142747494,0.03928219111171665,61.04564561667814,10.839625014695812,7.701567171984176,87.5649234278107,92.51925292689194,97.05658867825079,Japan
,Korea,CCGT,491,0.561,7.817504788757621,12.843349316908222,17.406340672498846,0.14953722330282065,0.0711641963093686,0.03922781499782517,60.822488948306585,10.799999999999997,11.357592903384647,90.94712386375167,95.89459536490881,100.42565033918787,Korea
,,CCGT,982,0.586,5.918713347901452,9.723831975525579,13.178519701656821,0.11321617107844227,0.05387914558039913,0.02969978254065578,58.2276728668942,10.339249146757679,8.412714366030812,83.01156589866258,86.75734750078867,90.18785586388012,
,Mexico,CCGT,503,0.505,4.725578498174317,7.763635202859747,10.521903271763755,0.09039327844515509,0.04301781770610886,0.023712696581992473,21.62149151683169,11.997623762376234,5.282282729361226,43.717369785188616,46.70805102913501,49.447013976914874,Mexico
,,CCGT,785,0.597,4.710996363191315,7.7396782679510086,10.489434905436495,0.09011434392140255,0.04288507382624166,0.02363952421960273,18.289536375209376,10.148743718592963,5.726835819602833,38.96622662051791,41.94767925518242,44.67819034306126,
,,CCGT,835,0.578,3.292018030768963,5.408444084041993,7.3299587134221555,0.06297140183296833,0.029967850832983624,0.016519167914834456,18.89074950865051,10.482352941176469,5.507181294973279,38.235273177402206,40.31869567967524,42.22676162613724,
,Romania,CCGT,750,0.58,1.7910198325713833,2.942459770066914,3.987858299974738,0.10826886575220362,0.072401292747138,0.05462504614498652,47.06402248275861,10.446206896551724,46.26802854831711,105.67754662595104,106.7931189904415,107.82074127374713,Romania
,United States,CCGT,726.548,0.5941015286477429,6.72035064113379,11.040838879985683,14.963433455959679,0.1285502985481619,0.061176598571606476,0.03372235499619157,18.378766405218343,10.198256876717124,5.30340939515951,40.72933361677693,44.982448155652264,48.87758848805085,United States
,,CCGT (CCUS),645.7379999999999,0.476592727147601,17.02754829719405,27.97449527704656,37.913287485876914,0.3257116382811615,0.15500493091240525,0.08544331375779228,22.910238856033626,5.085096481653683,14.217280803732695,59.56587607689522,70.34211634937897,80.2113469410547,
,Non-OECD countries,,,,,,,,,,,,,,,,
,Brazil,CCGT,980,0.58,6.762310665645402,11.109774846986772,15.056861026650248,0.12935293132226758,0.061558568458696845,0.03393290812322167,18.825608993103444,10.446206896551724,11.211070433137651,47.3745499197605,51.65421973823828,55.57368025756628,Brazil
,China,CCGT,475,0.58,3.9533279628642894,6.494907692846631,8.802421638512055,0.056715956914630106,0.026990908367831756,0.01487818896279965,53.53532557413791,10.446206896551724,13.4918076819769,81.48338407244546,83.995238753881,86.29063998014135,China
,,,,,,,,,,,,,,,,,
,Table 3.11.b:  Levelised cost of electricity for open-cycle gas turbine (OCGT) at 30% capacity factor,,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),Electrical conversion efficiency (%),Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel 
(USD/MWh)",Carbon (USD/MWh),O&M (USD/MWh),LCOE (USD/MWh),,,Country
