Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Back to the table of content,,,,,,,,,,,,,,,
,Table 3.16.a: Levelised cost of electricity for other renewable generation - Hydropower,,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity
 factor (%)",Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"Fuel 
(USD/MWh)","O&M 
(USD/MWh)",LCOE (USD/MWh),,,Country
,,,,,0.03,0.07,0.1,0.03,0.07,0.1,,,0.03,0.07,0.1,
,Austria,Run of river (< 5 MW),2.2,0.514,18.434013836729942,42.4010697423709,64.0499575157393,0.07804582922912003,0.007431282028260596,0.0011111052222583407,0,11.916022750126904,30.428082416085957,54.324523774526064,75.96709137108844,Austria
,Germany,Run of river (>= 5 MW),24.5,0.65,18.524210218592142,42.60853530639405,64.36334962217441,5.646322365713753,5.889940569582876,5.553163507914032,0,8.498304624273315,32.66883720857921,56.996780500250246,78.41481775436176,Germany
,Italy,Run of river (< 5 MW),0.02,0.55,47.13,108.41,163.77,0.2,0.02,0.003,0,24.64,71.97,133.07,188.41,Italy
,,Run of river (< 5 MW),0.1,0.34199991103747035,35.360510264230136,81.3346173610886,122.86196594070526,0.1497091393106065,0.014254840360004399,0.002131345238442947,0,17.00871648746143,52.51893589100219,98.35758868891004,139.87281377340514,
,,Run of river (< 5 MW),0.2,0.5545639269406387,39.827410403058664,91.60917536002476,138.38244708241675,0.16862107723721856,0.016055576489298718,0.0024005864419875404,0,21.467034834483634,61.463066314779525,113.0922657709977,159.85188250334238,
,,Run of river (< 5 MW),0.3,0.19467687243671386,32.81844655435626,75.487479477469,114.02943092897036,0.13894656356624793,0.013230061246285873,0.0019781230325592557,0,22.085348670558023,55.04274178848052,97.5860582092733,136.11675772256095,
,,Run of river (< 5 MW),0.25,0.14732303860075646,99.3492907870269,228.5186636413569,345.19437331922427,0.4206244961880724,0.04005056119004387,0.00598825176105596,0,29.184210743237394,128.95412602645237,257.74292494578435,374.38457231422274,
,,Run of river (< 5 MW),0.25,0.08418459348614654,155.7199033413457,358.17975077656337,541.0570525609144,0.6592860942492189,0.06277517904631763,0.00938597525989629,0,51.07236880066545,207.45155823626035,409.3148947562751,592.1388073368396,
,,Run of river (< 5 MW),0.5,0.20414763920390536,21.038190186201955,48.39107625931203,73.09830618383185,0.08907137713493957,0.008481100536354194,0.0012680712507753993,0,13.008123042013032,34.13538460534991,61.40768040186142,86.10769729709565,
,,Run of river (< 5 MW),0.5,0.15153226827506375,100.16915380840616,230.40447480850662,348.04303081472,0.42409562786479615,0.040381071592736115,0.006037668783992984,0,17.524832431600892,118.11808186787184,247.96968831170025,365.5739009151049,
,,Run of river (< 5 MW),0.5,0.21993225048255782,43.76677989492847,100.67033165757103,152.06999504824927,0.18529955873104687,0.017643649817597976,0.0026380308777783188,0,12.074525694500137,56.026605148159646,112.76250100188877,164.14715877362718,
,,Run of river (< 5 MW),0.7,0.5545639269406387,31.92230899650702,73.42622513396758,110.91575351628772,0.13515250116480032,0.012868802380610856,0.0019241085824667733,0,12.47347708277364,44.53093858044548,85.91257101912183,123.39115470764384,
,,Run of river (< 5 MW),1,0.1452184237636028,26.421939248614503,60.77452793145605,91.80442747554164,0.11186506513251901,0.010651444879508302,0.0015925752764074106,0,8.707991270360694,35.24179558410771,69.49317064669626,100.51401132117874,
,,Run of river (< 5 MW),2.12,0.5037123287671231,25.62555051050394,58.942711229692286,89.03733262068363,0.10849331875079896,0.010330397636653447,0.0015445731595760076,0,8.423248621693316,34.15729245094805,67.37629024902225,97.46212581553652,
,,Run of river (>= 5 MW),5,0.36934461830472126,33.161647537534236,76.27689457459681,115.22190092419767,0.14039960605398896,0.013368415449605925,0.0019988093794433715,0,27.52830238547575,60.830349529063994,103.81856537552217,142.75220211905287,
,,Reservoir (< 5 MW),0.315,0.6546347031963463,24.316715764239888,55.93218981807197,84.48971696650084,0.10295198119942262,0.009802768645267135,0.0014656834975345517,0,16.845492785069744,41.26516053050904,72.78748537178697,101.3366754350681,
,,Reservoir (>= 5 MW),15,0.3786,32.946127712358894,75.78116579739945,114.47306587565436,0.13948713937038426,0.0132815331993405,0.001985818979990849,0,18.3669756815627,51.45259053329195,94.16142301216149,132.84202737619705,
,Japan,Reservoir (>= 5 MW),11.952,0.45,51.90147239896497,119.38137675341103,180.33441504390908,0.2197401763645453,0.0209229787117872,0.0031283472789026046,0,22.99804380596619,75.11925638129571,142.400343538089,203.33558719715415,Japan
,Norway,Reservoir (>= 5 MW),30,0.52,14.660491610133853,33.72138768715385,50.9386546579428,0.06206951100034677,0.0059100665103536225,0.0008836571857420242,0,4.918536735321242,19.64109785645544,38.64583448898544,55.85807505044978,Norway
,,Run of river (< 5 MW),3,0.47,16.77244454188687,38.57920456550709,58.27674698835506,0.07101108603177654,0.006761455578696237,0.001010954580244298,0,8.607439286812175,25.450894914730824,47.19340530789796,66.88519722974748,
,United States,Run of river (< 5 MW)*,4.8,0.617275601272,41.50531862722293,95.46862258970684,144.212428085192,0.14324137104222096,0.013638999506360498,0.0020392663769542322,0,22.238782049778298,63.88734204804343,117.72104363899149,166.45324940134722,United States
